Date,Year,Quarter,Month Number,Month Short,Month Long,Period ID,Period Name,Year Quarter,Year LY,Date LY,Current Year,Current Month
2022-01-01,2022,1,1,Jan,January,202201,2022-01,2022-Q1,2021,2021-01-01,0,0
2022-02-01,2022,1,2,Feb,February,202202,2022-02,2022-Q1,2021,2021-02-01,0,0
2022-03-01,2022,1,3,Mar,March,202203,2022-03,2022-Q1,2021,2021-03-01,0,0
2022-04-01,2022,2,4,Apr,April,202204,2022-04,2022-Q2,2021,2021-04-01,0,0
2022-05-01,2022,2,5,May,May,202205,2022-05,2022-Q2,2021,2021-05-01,0,0
2022-06-01,2022,2,6,Jun,June,202206,2022-06,2022-Q2,2021,2021-06-01,0,0
2022-07-01,2022,3,7,Jul,July,202207,2022-07,2022-Q3,2021,2021-07-01,0,0
2022-08-01,2022,3,8,Aug,August,202208,2022-08,2022-Q3,2021,2021-08-01,0,0
2022-09-01,2022,3,9,Sep,September,202209,2022-09,2022-Q3,2021,2021-09-01,0,0
2022-10-01,2022,4,10,Oct,October,202210,2022-10,2022-Q4,2021,2021-10-01,0,0
2022-11-01,2022,4,11,Nov,November,202211,2022-11,2022-Q4,2021,2021-11-01,0,0
2022-12-01,2022,4,12,Dec,December,202212,2022-12,2022-Q4,2021,2021-12-01,0,0
2023-01-01,2023,1,1,Jan,January,202301,2023-01,2023-Q1,2022,2022-01-01,0,0
2023-02-01,2023,1,2,Feb,February,202302,2023-02,2023-Q1,2022,2022-02-01,0,0
2023-03-01,2023,1,3,Mar,March,202303,2023-03,2023-Q1,2022,2022-03-01,0,0
2023-04-01,2023,2,4,Apr,April,202304,2023-04,2023-Q2,2022,2022-04-01,0,0
2023-05-01,2023,2,5,May,May,202305,2023-05,2023-Q2,2022,2022-05-01,0,0
2023-06-01,2023,2,6,Jun,June,202306,2023-06,2023-Q2,2022,2022-06-01,0,0
2023-07-01,2023,3,7,Jul,July,202307,2023-07,2023-Q3,2022,2022-07-01,0,0
2023-08-01,2023,3,8,Aug,August,202308,2023-08,2023-Q3,2022,2022-08-01,0,0
2023-09-01,2023,3,9,Sep,September,202309,2023-09,2023-Q3,2022,2022-09-01,0,0
2023-10-01,2023,4,10,Oct,October,202310,2023-10,2023-Q4,2022,2022-10-01,0,0
2023-11-01,2023,4,11,Nov,November,202311,2023-11,2023-Q4,2022,2022-11-01,0,0
2023-12-01,2023,4,12,Dec,December,202312,2023-12,2023-Q4,2022,2022-12-01,0,0
2024-01-01,2024,1,1,Jan,January,202401,2024-01,2024-Q1,2023,2023-01-01,1,0
2024-02-01,2024,1,2,Feb,February,202402,2024-02,2024-Q1,2023,2023-02-01,1,0
2024-03-01,2024,1,3,Mar,March,202403,2024-03,2024-Q1,2023,2023-03-01,1,0
2024-04-01,2024,2,4,Apr,April,202404,2024-04,2024-Q2,2023,2023-04-01,1,0
2024-05-01,2024,2,5,May,May,202405,2024-05,2024-Q2,2023,2023-05-01,1,0
2024-06-01,2024,2,6,Jun,June,202406,2024-06,2024-Q2,2023,2023-06-01,1,0
2024-07-01,2024,3,7,Jul,July,202407,2024-07,2024-Q3,2023,2023-07-01,1,0
2024-08-01,2024,3,8,Aug,August,202408,2024-08,2024-Q3,2023,2023-08-01,1,0
2024-09-01,2024,3,9,Sep,September,202409,2024-09,2024-Q3,2023,2023-09-01,1,0
2024-10-01,2024,4,10,Oct,October,202410,2024-10,2024-Q4,2023,2023-10-01,1,0
2024-11-01,2024,4,11,Nov,November,202411,2024-11,2024-Q4,2023,2023-11-01,1,0
2024-12-01,2024,4,12,Dec,December,202412,2024-12,2024-Q4,2023,2023-12-01,1,1
